ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,PNT
42,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,341
42,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,152
42,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,93
42,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
42,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,233
42,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,87
42,orue,-17.439283,13.668533,ongokua,-16.656,13.423,28
42,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,87
42,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,76
42,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,193
43,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
43,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,145
43,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,64
43,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
43,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,
43,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,63
43,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
43,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,114
43,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
43,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
44,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
44,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,143
44,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,82
44,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
44,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,
44,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,80
44,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
44,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,112
44,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
44,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
45,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
45,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,142
45,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,91
45,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
45,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,245
45,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,90
45,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
45,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,116
45,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
45,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,218
46,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
46,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,160
46,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,72
46,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
46,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,280
46,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,66
46,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
46,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,90
46,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,104
46,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,256
47,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,306
47,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,166
47,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,70
47,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
47,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,288
47,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,66
47,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
47,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,114
47,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,105
47,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
48,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
48,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,150
