ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
32,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,6,316.9218,-49.07825,66162.67
32,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,179,165.6738,-13.32617,70217.24
32,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,76,47.8304,-28.1696,16069.3
32,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,,278.2858,,131721.6
32,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,239,271.1509,32.15088,42093.35
32,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,82,55.34229,-26.65771,21379.34
32,orue,-17.439283,13.668533,ongokua,-16.656,13.423,3,343.1837,-19.81625,90540.95
32,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,124,111.6458,-12.35419,17150.93
32,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,98,89.72446,-8.275543,76282.81
32,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,189.5,257.2432,67.74319,31021.03
33,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,331,316.9218,-14.07825,66162.67
33,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,205,165.6738,-39.32617,70217.24
33,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,48,47.8304,-0.1696014,16069.3
33,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,,278.2858,,131721.6
33,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,206,271.1509,65.15088,42093.35
33,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,42,55.34229,13.34229,21379.34
33,orue,-17.439283,13.668533,ongokua,-16.656,13.423,,343.1837,,90540.95
33,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,67,111.6458,44.64581,17150.93
33,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,75,89.72446,14.72446,76282.81
33,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,265,257.2432,-7.756805,31021.03
34,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,281,316.9218,35.92175,66162.67
34,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,160,165.6738,5.673828,70217.24
34,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,88,47.8304,-40.1696,16069.3
34,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,,278.2858,,131721.6
34,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,256,271.1509,15.15088,42093.35
34,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,119,55.34229,-63.65771,21379.34
34,orue,-17.439283,13.668533,ongokua,-16.656,13.423,,343.1837,,90540.95
34,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,119,111.6458,-7.354187,17150.93
34,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,107,89.72446,-17.27554,76282.81
